"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de parfums et de produits pour la toilette (NAF rév. 2, niveau classe, poste 20.42)";"Codes"
"idBank";"010767815";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"1990-01";"33.6";"A"
"1990-02";"34.53";"A"
"1990-03";"35.99";"A"
"1990-04";"33.81";"A"
"1990-05";"34.05";"A"
"1990-06";"33.35";"A"
"1990-07";"33.73";"A"
"1990-08";"33.38";"A"
"1990-09";"32.96";"A"
"1990-10";"35.57";"A"
"1990-11";"34.46";"A"
"1990-12";"32.22";"A"
"1991-01";"35.19";"A"
"1991-02";"34.0";"A"
"1991-03";"33.39";"A"
"1991-04";"34.18";"A"
"1991-05";"35.61";"A"
"1991-06";"35.42";"A"
"1991-07";"35.3";"A"
"1991-08";"35.13";"A"
"1991-09";"37.61";"A"
"1991-10";"37.91";"A"
"1991-11";"36.34";"A"
"1991-12";"38.05";"A"
"1992-01";"37.05";"A"
"1992-02";"37.45";"A"
"1992-03";"37.32";"A"
"1992-04";"38.14";"A"
"1992-05";"37.85";"A"
"1992-06";"39.32";"A"
"1992-07";"39.71";"A"
"1992-08";"40.52";"A"
"1992-09";"39.41";"A"
"1992-10";"38.26";"A"
"1992-11";"39.43";"A"
"1992-12";"37.81";"A"
"1993-01";"39.13";"A"
"1993-02";"42.42";"A"
"1993-03";"39.11";"A"
"1993-04";"38.36";"A"
"1993-05";"34.89";"A"
"1993-06";"37.87";"A"
"1993-07";"38.67";"A"
"1993-08";"37.51";"A"
"1993-09";"37.45";"A"
"1993-10";"39.61";"A"
"1993-11";"40.41";"A"
"1993-12";"42.07";"A"
"1994-01";"43.94";"A"
"1994-02";"41.78";"A"
"1994-03";"41.21";"A"
"1994-04";"44.03";"A"
"1994-05";"42.37";"A"
"1994-06";"41.93";"A"
"1994-07";"41.49";"A"
"1994-08";"42.61";"A"
"1994-09";"42.13";"A"
"1994-10";"43.01";"A"
"1994-11";"42.63";"A"
"1994-12";"41.61";"A"
"1995-01";"41.94";"A"
"1995-02";"41.53";"A"
"1995-03";"42.99";"A"
"1995-04";"43.06";"A"
"1995-05";"42.71";"A"
"1995-06";"41.68";"A"
"1995-07";"43.4";"A"
"1995-08";"43.82";"A"
"1995-09";"45.52";"A"
"1995-10";"44.13";"A"
"1995-11";"42.37";"A"
"1995-12";"43.99";"A"
"1996-01";"43.99";"A"
"1996-02";"44.16";"A"
"1996-03";"44.85";"A"
"1996-04";"43.48";"A"
"1996-05";"43.43";"A"
"1996-06";"44.08";"A"
"1996-07";"43.01";"A"
"1996-08";"42.49";"A"
"1996-09";"43.1";"A"
"1996-10";"42.41";"A"
"1996-11";"43.06";"A"
"1996-12";"43.36";"A"
"1997-01";"42.24";"A"
"1997-02";"45.56";"A"
"1997-03";"48.58";"A"
